claim_id,target_label,candidate_label,recorded_lag,computed_lag,lag_match,recorded_pearson_r,computed_pearson_r,pearson_match,recorded_paired_weeks,computed_paired_weeks,paired_weeks_match,recorded_evidence_status,expected_evidence_status,evidence_status_match,recorded_edge_type,expected_edge_type,edge_type_match,audit_pass,all_lags_json
claim_target_flu_hospitalization_rate__candidate_wastewater_sars_cov_2,FluSurv-NET influenza hospitalization rate,Wastewater SARS-CoV-2 viral activity,0,0,True,0.149906,0.149906,True,175,175,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.149906, ""paired_weeks"": 175}, {""lag"": 1, ""pearson_r"": 0.121387, ""paired_weeks"": 174}, {""lag"": 2, ""pearson_r"": 0.080827, ""paired_weeks"": 173}, {""lag"": 3, ""pearson_r"": 0.038807, ""paired_weeks"": 172}, {""lag"": 4, ""pearson_r"": -0.004136, ""paired_weeks"": 171}]"
claim_target_flu_hospitalization_rate__candidate_wastewater_influenza_a,FluSurv-NET influenza hospitalization rate,Wastewater Influenza A viral activity,0,0,True,0.167332,0.167332,True,175,175,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.167332, ""paired_weeks"": 175}, {""lag"": 1, ""pearson_r"": 0.121773, ""paired_weeks"": 174}, {""lag"": 2, ""pearson_r"": 0.071664, ""paired_weeks"": 173}, {""lag"": 3, ""pearson_r"": 0.044366, ""paired_weeks"": 172}, {""lag"": 4, ""pearson_r"": 0.012279, ""paired_weeks"": 171}]"
claim_target_flu_hospitalization_rate__candidate_wastewater_rsv,FluSurv-NET influenza hospitalization rate,Wastewater RSV viral activity,0,0,True,0.427575,0.427575,True,166,166,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.427575, ""paired_weeks"": 166}, {""lag"": 1, ""pearson_r"": 0.399979, ""paired_weeks"": 165}, {""lag"": 2, ""pearson_r"": 0.335028, ""paired_weeks"": 164}, {""lag"": 3, ""pearson_r"": 0.245489, ""paired_weeks"": 163}, {""lag"": 4, ""pearson_r"": 0.164336, ""paired_weeks"": 162}]"
claim_target_flu_hospitalization_rate__candidate_test_positivity_covid_19,FluSurv-NET influenza hospitalization rate,COVID-19 test positivity,0,0,True,-0.004460,-0.004460,True,151,151,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": -0.00446, ""paired_weeks"": 151}, {""lag"": 1, ""pearson_r"": -0.022653, ""paired_weeks"": 151}, {""lag"": 2, ""pearson_r"": -0.047249, ""paired_weeks"": 150}, {""lag"": 3, ""pearson_r"": -0.076149, ""paired_weeks"": 149}, {""lag"": 4, ""pearson_r"": -0.110152, ""paired_weeks"": 148}]"
claim_target_flu_hospitalization_rate__candidate_test_positivity_influenza,FluSurv-NET influenza hospitalization rate,Influenza test positivity,0,0,True,0.926193,0.926193,True,151,151,True,present,present,True,CONCURRENT_INDICATOR_FOR,CONCURRENT_INDICATOR_FOR,True,True,"[{""lag"": 0, ""pearson_r"": 0.926193, ""paired_weeks"": 151}, {""lag"": 1, ""pearson_r"": 0.892817, ""paired_weeks"": 151}, {""lag"": 2, ""pearson_r"": 0.778066, ""paired_weeks"": 150}, {""lag"": 3, ""pearson_r"": 0.627977, ""paired_weeks"": 149}, {""lag"": 4, ""pearson_r"": 0.480358, ""paired_weeks"": 148}]"
claim_target_flu_hospitalization_rate__candidate_test_positivity_rsv,FluSurv-NET influenza hospitalization rate,RSV test positivity,4,4,True,0.611619,0.611619,True,148,148,True,present,present,True,LEADING_INDICATOR_FOR,LEADING_INDICATOR_FOR,True,True,"[{""lag"": 0, ""pearson_r"": 0.425402, ""paired_weeks"": 151}, {""lag"": 1, ""pearson_r"": 0.486805, ""paired_weeks"": 151}, {""lag"": 2, ""pearson_r"": 0.546856, ""paired_weeks"": 150}, {""lag"": 3, ""pearson_r"": 0.588573, ""paired_weeks"": 149}, {""lag"": 4, ""pearson_r"": 0.611619, ""paired_weeks"": 148}]"
claim_target_flu_hospitalization_rate__candidate_negative_control_deterministic,FluSurv-NET influenza hospitalization rate,Deterministic negative-control surveillance signal,4,4,True,0.032199,0.032199,True,272,272,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": 0.000743, ""paired_weeks"": 280}, {""lag"": 1, ""pearson_r"": -0.008812, ""paired_weeks"": 278}, {""lag"": 2, ""pearson_r"": 0.001443, ""paired_weeks"": 276}, {""lag"": 3, ""pearson_r"": 0.001819, ""paired_weeks"": 274}, {""lag"": 4, ""pearson_r"": 0.032199, ""paired_weeks"": 272}]"
claim_target_covid_hospitalization_rate__candidate_wastewater_sars_cov_2,COVID-NET COVID-19 hospitalization rate,Wastewater SARS-CoV-2 viral activity,0,0,True,0.883280,0.883280,True,233,233,True,present,present,True,CONCURRENT_INDICATOR_FOR,CONCURRENT_INDICATOR_FOR,True,True,"[{""lag"": 0, ""pearson_r"": 0.88328, ""paired_weeks"": 233}, {""lag"": 1, ""pearson_r"": 0.871091, ""paired_weeks"": 232}, {""lag"": 2, ""pearson_r"": 0.839746, ""paired_weeks"": 231}, {""lag"": 3, ""pearson_r"": 0.789189, ""paired_weeks"": 230}, {""lag"": 4, ""pearson_r"": 0.705455, ""paired_weeks"": 229}]"
claim_target_covid_hospitalization_rate__candidate_wastewater_influenza_a,COVID-NET COVID-19 hospitalization rate,Wastewater Influenza A viral activity,0,0,True,-0.028546,-0.028546,True,233,233,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": -0.028546, ""paired_weeks"": 233}, {""lag"": 1, ""pearson_r"": -0.030389, ""paired_weeks"": 232}, {""lag"": 2, ""pearson_r"": -0.033843, ""paired_weeks"": 231}, {""lag"": 3, ""pearson_r"": -0.034535, ""paired_weeks"": 230}, {""lag"": 4, ""pearson_r"": -0.043317, ""paired_weeks"": 229}]"
claim_target_covid_hospitalization_rate__candidate_wastewater_rsv,COVID-NET COVID-19 hospitalization rate,Wastewater RSV viral activity,0,0,True,-0.026794,-0.026794,True,224,224,True,missing,missing,True,NO_TYPED_EDGE,NO_TYPED_EDGE,True,True,"[{""lag"": 0, ""pearson_r"": -0.026794, ""paired_weeks"": 224}, {""lag"": 1, ""pearson_r"": -0.028021, ""paired_weeks"": 223}, {""lag"": 2, ""pearson_r"": -0.041257, ""paired_weeks"": 222}, {""lag"": 3, ""pearson_r"": -0.046986, ""paired_weeks"": 221}, {""lag"": 4, ""pearson_r"": -0.056625, ""paired_weeks"": 220}]"
