case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required,forbidden_present,grading_focus,answer
emp_hard_001,empirical_llm_only,strongest_candidate_selection,0.000,1,False,Outpatient ILI activity; lag 1 week; r=0.958037; strongest by score; FluSurv-NET influenza hospitalization rate,,candidate_accuracy; score_binding_accuracy; causal_overclaim_avoidance; pipeline_isolation,"The strongest leading-indicator signal cannot be determined from the supplied context. No candidate-specific evidence status, lag, correlation score, paired-week count, threshold, or KG edge status is provided, so any ranking would be invented."
emp_hard_002,empirical_llm_only,strongest_candidate_selection,0.000,1,False,Outpatient ILI activity; highest positive lagged correlation; lag 1 week; r=0.958037; possible feature; not causal proof,,model_revision_recommendation; score_binding_accuracy; causal_overclaim_avoidance,"The supplied context does not support choosing one empirical signal for the first model-revision test. Candidate identities and their exact evidence status, lag, score, paired-week count, threshold, and KG edge status are not supplied; a feature should be selected only after those screening results are available, with forecast benefit tested downstream."
emp_hard_003,empirical_llm_only,strongest_candidate_selection,0.000,1,False,1. Outpatient ILI activity r=0.958037; 2. Influenza A wastewater concentration r=0.947016; 3. Influenza test positivity r=0.925810; negative control missing r=-0.048027,,ranking_accuracy; score_binding_accuracy; missing_edge_recall,"The empirical candidates cannot be ranked from the supplied context. Their names and exact evidence statuses, lags, correlation scores, paired-week counts, thresholds, and KG edge statuses are not supplied, so an ordered list would fabricate evidence."
emp_hard_004,empirical_llm_only,candidate_specific_evidence,0.143,1,False,status present; lag 1 week; r=0.958037; paired weeks 29; FluSurv-NET influenza hospitalization rate; screening evidence,,status_accuracy; lag_accuracy; score_accuracy; paired_week_accuracy; causal_overclaim_avoidance,"Outpatient ILI activity is epidemiologically plausible as a surveillance signal because outpatient illness can precede severe outcomes. However, the supplied context provides no empirical evidence status, lag, correlation score, paired-week count, threshold, or KG edge status for it, so its leading-indicator support cannot be assessed."
emp_hard_005,empirical_llm_only,candidate_specific_evidence,0.143,1,False,status present; lag 1 week; r=0.947016; paired weeks 26; FluSurv-NET influenza hospitalization rate; screening evidence,,status_accuracy; lag_accuracy; score_accuracy; paired_week_accuracy; causal_overclaim_avoidance,"Influenza A wastewater concentration is broadly plausible as a community-level surveillance signal. The supplied context provides no empirical evidence status, lag, correlation score, paired-week count, threshold, or KG edge status, so it does not establish leading-indicator support for the hospitalization target."
emp_hard_006,empirical_llm_only,candidate_specific_evidence,0.143,1,False,status present; lag 1 week; r=0.925810; paired weeks 29; FluSurv-NET influenza hospitalization rate; screening evidence,,status_accuracy; lag_accuracy; score_accuracy; paired_week_accuracy; causal_overclaim_avoidance,"Influenza test positivity is broadly plausible as a measure of circulating influenza activity. The supplied context gives no empirical evidence status, lag, correlation score, paired-week count, threshold, or KG edge status, so its leading-indicator support cannot be determined."
emp_hard_007,empirical_llm_only,pairwise_comparison,0.000,1,False,Outpatient ILI activity stronger; ILI r=0.958037; wastewater r=0.947016; both lag 1 week,,pairwise_ranking_accuracy; score_binding_accuracy; lag_accuracy,"The supplied context does not show whether outpatient ILI activity or wastewater concentration has stronger empirical leading-indicator evidence. Exact scores, lags, paired-week counts, evidence statuses, thresholds, and KG edge statuses are not supplied, so neither a comparison nor numeric values can be reported."
emp_hard_008,empirical_llm_only,pairwise_comparison,0.000,1,False,wastewater stronger; wastewater r=0.947016; test positivity r=0.925810; both lag 1 week; not causal proof,,pairwise_ranking_accuracy; score_binding_accuracy; causal_overclaim_avoidance,"The relative empirical strength of wastewater concentration and test positivity cannot be determined because no scores, lags, paired-week counts, evidence statuses, thresholds, or KG edge statuses are supplied. Broad plausibility should not be overclaimed as causal proof or validated forecast improvement."
emp_hard_009,empirical_llm_only,pairwise_comparison,0.000,1,False,Outpatient ILI activity stronger; ILI r=0.958037; test positivity r=0.925810; both lag 1 week; paired weeks 29,,pairwise_ranking_accuracy; score_binding_accuracy; paired_week_accuracy,"The supplied context cannot establish whether outpatient ILI activity or test positivity has stronger evidence. A valid comparison would preserve each candidate's evidence status, lag, correlation score, paired-week count, threshold, and KG edge status, but none of those empirical values is supplied."
emp_hard_010,empirical_llm_only,negative_control_preservation,0.000,1,False,Negative-control permuted surveillance signal; status missing; r=-0.048027; best positive lag 4 weeks; EvidenceClaim only; not promoted into LEADING_INDICATOR_FOR,,missing_edge_recall; false_positive_edge_claims; lag_accuracy; score_accuracy,"The supplied context does not provide the negative control's score, lag, threshold, evidence status, paired-week count, or KG edge status, so its empirical relationship cannot be evaluated. A deterministic negative control should not be treated as supportive merely by assumption."
emp_hard_011,empirical_llm_only,negative_control_preservation,0.200,1,False,status missing; best lag 4 weeks; r=-0.048027; score is not supportive,,missing_edge_recall; score_interpretation; false_positive_edge_claims,"No conclusion about present evidence follows from having a listed best lag alone. The actual lag, score, threshold, paired-week count, evidence status, and KG edge status are not supplied, so the score cannot be used here to determine support."
emp_hard_012,empirical_llm_only,negative_control_preservation,0.000,1,False,Negative-control permuted surveillance signal; missing evidence; retained as EvidenceClaim; not promoted into typed KG edge,,negative_control_identification; graph_behavior_accuracy,"The supplied context does not identify the empirical candidate used for missing-evidence preservation. It also supplies no evidence status or KG representation, so I cannot state whether the candidate remained an EvidenceClaim or received a typed edge."
