claim_id,pipeline,target_id,target_label,target_disease,candidate_id,candidate_label,candidate_family,candidate_disease,best_lag_weeks,pearson_r,paired_weeks,threshold,evidence_status,promoted_edge_type,target_source,candidate_source,interpretation
claim_target_flu_hospitalization_rate__candidate_wastewater_sars_cov_2,respiratory_expansion,target_flu_hospitalization_rate,FluSurv-NET influenza hospitalization rate,influenza,candidate_wastewater_sars_cov_2,Wastewater SARS-CoV-2 viral activity,wastewater,covid,0,0.149906,175,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_flu_hospitalization_rate__candidate_wastewater_influenza_a,respiratory_expansion,target_flu_hospitalization_rate,FluSurv-NET influenza hospitalization rate,influenza,candidate_wastewater_influenza_a,Wastewater Influenza A viral activity,wastewater,influenza,0,0.167332,175,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_flu_hospitalization_rate__candidate_wastewater_rsv,respiratory_expansion,target_flu_hospitalization_rate,FluSurv-NET influenza hospitalization rate,influenza,candidate_wastewater_rsv,Wastewater RSV viral activity,wastewater,rsv,0,0.427575,166,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_flu_hospitalization_rate__candidate_test_positivity_covid_19,respiratory_expansion,target_flu_hospitalization_rate,FluSurv-NET influenza hospitalization rate,influenza,candidate_test_positivity_covid_19,COVID-19 test positivity,test_positivity,covid,0,-0.004460,151,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_flu_hospitalization_rate__candidate_test_positivity_influenza,respiratory_expansion,target_flu_hospitalization_rate,FluSurv-NET influenza hospitalization rate,influenza,candidate_test_positivity_influenza,Influenza test positivity,test_positivity,influenza,0,0.926193,151,0.60,present,CONCURRENT_INDICATOR_FOR,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_flu_hospitalization_rate__candidate_test_positivity_rsv,respiratory_expansion,target_flu_hospitalization_rate,FluSurv-NET influenza hospitalization rate,influenza,candidate_test_positivity_rsv,RSV test positivity,test_positivity,rsv,4,0.611619,148,0.60,present,LEADING_INDICATOR_FOR,RESP-NET hospitalization rates,CDC respiratory pathogen test positivity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_flu_hospitalization_rate__candidate_negative_control_deterministic,respiratory_expansion,target_flu_hospitalization_rate,FluSurv-NET influenza hospitalization rate,influenza,candidate_negative_control_deterministic,Deterministic negative-control surveillance signal,negative_control,none,4,0.032199,272,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,deterministic synthetic negative control,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_covid_hospitalization_rate__candidate_wastewater_sars_cov_2,respiratory_expansion,target_covid_hospitalization_rate,COVID-NET COVID-19 hospitalization rate,covid,candidate_wastewater_sars_cov_2,Wastewater SARS-CoV-2 viral activity,wastewater,covid,0,0.883280,233,0.60,present,CONCURRENT_INDICATOR_FOR,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_covid_hospitalization_rate__candidate_wastewater_influenza_a,respiratory_expansion,target_covid_hospitalization_rate,COVID-NET COVID-19 hospitalization rate,covid,candidate_wastewater_influenza_a,Wastewater Influenza A viral activity,wastewater,influenza,0,-0.028546,233,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
claim_target_covid_hospitalization_rate__candidate_wastewater_rsv,respiratory_expansion,target_covid_hospitalization_rate,COVID-NET COVID-19 hospitalization rate,covid,candidate_wastewater_rsv,Wastewater RSV viral activity,wastewater,rsv,0,-0.026794,224,0.60,missing,NO_TYPED_EDGE,RESP-NET hospitalization rates,CDC wastewater viral activity,Lagged/concurrent correlation is screening evidence only; not causal proof and not validated forecast improvement.
