case_id,method,case_type,target_signal,query,prompt,answer
emp_hard_001,empirical_llm_only,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"Among the empirical influenza candidates, which signal has the strongest leading-indicator evidence for the hospitalization target?","You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_001
Case type: strongest_candidate_selection
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
Among the empirical influenza candidates, which signal has the strongest leading-indicator evidence for the hospitalization target?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_002,empirical_llm_only,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"If only one empirical signal should be tested first as a possible model-revision feature, which should it be and why?","You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_002
Case type: strongest_candidate_selection
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
If only one empirical signal should be tested first as a possible model-revision feature, which should it be and why?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_003,empirical_llm_only,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,Rank the empirical influenza candidates by strength of evidence as leading indicators for FluSurv-NET hospitalization rate.,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_003
Case type: strongest_candidate_selection
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
Rank the empirical influenza candidates by strength of evidence as leading indicators for FluSurv-NET hospitalization rate.

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_004,empirical_llm_only,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Outpatient ILI activity as a leading-indicator candidate for the hospitalization target?,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_004
Case type: candidate_specific_evidence
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
What empirical evidence supports Outpatient ILI activity as a leading-indicator candidate for the hospitalization target?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_005,empirical_llm_only,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza A wastewater concentration as a leading-indicator candidate for the hospitalization target?,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_005
Case type: candidate_specific_evidence
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
What empirical evidence supports Influenza A wastewater concentration as a leading-indicator candidate for the hospitalization target?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_006,empirical_llm_only,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza test positivity as a leading-indicator candidate for the hospitalization target?,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_006
Case type: candidate_specific_evidence
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
What empirical evidence supports Influenza test positivity as a leading-indicator candidate for the hospitalization target?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_007,empirical_llm_only,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and wastewater concentration. Which has stronger empirical leading-indicator evidence and what are the exact scores?,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_007
Case type: pairwise_comparison
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
Compare outpatient ILI activity and wastewater concentration. Which has stronger empirical leading-indicator evidence and what are the exact scores?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_008,empirical_llm_only,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare wastewater concentration and test positivity. Which has stronger empirical evidence and what should not be overclaimed?,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_008
Case type: pairwise_comparison
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
Compare wastewater concentration and test positivity. Which has stronger empirical evidence and what should not be overclaimed?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_009,empirical_llm_only,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and test positivity as candidates. Which has stronger evidence and what evidence attributes should be preserved?,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_009
Case type: pairwise_comparison
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
Compare outpatient ILI activity and test positivity as candidates. Which has stronger evidence and what evidence attributes should be preserved?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
emp_hard_010,empirical_llm_only,negative_control_preservation,FluSurv-NET influenza hospitalization rate,Does the deterministic negative-control permuted signal support a leading-indicator relationship with FluSurv-NET hospitalization rate?,"You are evaluating empirical influenza evidence claims for a thesis on Failure-Conditioned GraphRAG.

Use only the supplied context for empirical details.
Preserve exact candidate names, evidence status, lag, correlation score, paired-week count, and KG edge status when available.
Do not import controlled fixture candidates such as Chile Influenza Activity, Australia Influenza Activity, Travel Importation Pressure, or Humidity Drop.
Do not claim causal discovery.
Do not claim that forecast improvement has already been validated.
Frame lagged correlations as screening evidence for possible model-revision testing, not causal proof.
Return a concise answer.


Case ID: emp_hard_010
Case type: negative_control_preservation
Pipeline: empirical_influenza
Target signal: FluSurv-NET influenza hospitalization rate

Question:
Does the deterministic negative-control permuted signal support a leading-indicator relationship with FluSurv-NET hospitalization rate?

Supplied context:
No empirical lag, correlation score, threshold, paired-week count, or KG edge evidence is supplied. Use only broad epidemiological reasoning and explicitly state when exact empirical details are unavailable.

Answer:",
