case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms,forbidden_terms_present,answer_length_chars,answer
adv_bind_001,adversarial_text_rag_overloaded,score_binding,1.000,1,1,[],[],189,"Outpatient ILI activity has status present, lag 1 week, r=0.958037, and 29 paired weeks. It was promoted to a typed LEADING_INDICATOR_FOR edge; this is screening evidence, not causal proof."
adv_bind_002,adversarial_text_rag_overloaded,score_binding,1.000,1,1,[],[],189,"Influenza A wastewater concentration has status present, lag 1 week, r=0.947016, and 26 paired weeks. It was promoted to a typed LEADING_INDICATOR_FOR edge; this remains screening evidence."
adv_bind_003,adversarial_text_rag_overloaded,score_binding,1.000,1,1,[],[],207,"Influenza test positivity has status present, lag 1 week, r=0.925810, and 29 paired weeks. It was promoted to a typed LEADING_INDICATOR_FOR edge, without implying causality or validated forecast improvement."
adv_bind_004,adversarial_text_rag_overloaded,negative_control_guard,1.000,1,1,[],[],213,"Negative-control permuted surveillance signal has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks. It was retained as an EvidenceClaim only, not promoted, and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_005,adversarial_text_rag_overloaded,ranking_binding,1.000,1,1,[],[],407,"The supported ranking is 1. Outpatient ILI activity: status present, lag 1 week, r=0.958037, 29 paired weeks, typed LEADING_INDICATOR_FOR edge; 2. Influenza A wastewater concentration: status present, lag 1 week, r=0.947016, 26 paired weeks, typed edge; 3. Influenza test positivity: status present, lag 1 week, r=0.925810, 29 paired weeks, typed edge. These scores are screening evidence, not causal proof."
adv_bind_006,adversarial_text_rag_overloaded,claim_vs_edge_count,1.000,1,1,[],[],224,"There are 4 EvidenceClaims and only 3 typed LEADING_INDICATOR_FOR edges. The three status-present candidates received typed edges, while the Negative-control permuted surveillance signal has status missing and no typed edge."
adv_bind_007,adversarial_text_rag_overloaded,claim_vs_edge_count,1.000,1,1,[],[],363,"The counts differ because all four evaluations are retained as EvidenceClaims, but only the three status-present candidates were promoted to typed LEADING_INDICATOR_FOR edges. The Negative-control permuted surveillance signal has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks, so it remains an EvidenceClaim only, not promoted, with no typed edge."
adv_bind_008,adversarial_text_rag_overloaded,pipeline_isolation,1.000,1,1,[],[],176,"No. Chile Influenza Activity is a controlled-fixture distractor and is not part of empirical_influenza, so it should not be included among that pipeline's empirical candidates."
adv_bind_009,adversarial_text_rag_overloaded,pipeline_isolation,1.000,1,1,[],[],318,"The empirical_influenza candidates are only Outpatient ILI activity, Influenza A wastewater concentration, Influenza test positivity, and Negative-control permuted surveillance signal. The first three have status present and typed LEADING_INDICATOR_FOR edges; the negative control has status missing and no typed edge."
adv_bind_010,adversarial_text_rag_overloaded,model_revision_guard,1.000,1,1,[],[],305,"Outpatient ILI activity is the strongest candidate for a cautious model-revision test: status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. This is screening evidence, not causal proof, and downstream validation is required before claiming forecast improvement."
