case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms_json,forbidden_terms_present_json,answer_length_chars,question,expected_answer,answer
resp_exp_001,resp_exp_text_rag_unstructured_full,promoted_exact_binding,1.000,True,True,[],[],170,"Give the exact evidence binding for candidate 'Influenza test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_002,resp_exp_text_rag_unstructured_full,promoted_exact_binding,1.000,True,True,[],[],161,"Give the exact evidence binding for candidate 'RSV test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_003,resp_exp_text_rag_unstructured_full,promoted_exact_binding,1.000,True,True,[],[],178,"Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_004,resp_exp_text_rag_unstructured_full,promoted_exact_binding,1.000,True,True,[],[],163,"Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_005,resp_exp_text_rag_unstructured_full,promoted_exact_binding,1.000,True,True,[],[],160,"Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_006,resp_exp_text_rag_unstructured_full,promoted_exact_binding,1.000,True,True,[],[],151,"Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_007,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],184,"Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_008,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],170,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_009,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],163,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater RSV viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.427575, paired_weeks=166, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater RSV viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.427575, paired_weeks=166, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_010,resp_exp_text_rag_unstructured_full,missing_exact_binding,1.000,True,True,[],[],171,"Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater Influenza A viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.167332, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater Influenza A viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.167332, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
