method,case_type,case_count,overall_pass_rate,avg_include_score,forbidden_ok_rate,failed_case_count,avg_retrieval_coverage,retrieval_full_coverage_rate
resp_exp_graphrag_target_neighborhood,concurrent_indicator_discrimination,3,1.000,1.000,1.000,0,1.000,1.000
resp_exp_graphrag_target_neighborhood,leading_indicator_by_target,3,1.000,1.000,1.000,0,1.000,1.000
resp_exp_graphrag_target_neighborhood,missing_exact_binding,11,1.000,1.000,1.000,0,1.000,1.000
resp_exp_graphrag_target_neighborhood,model_revision_guard,3,0.000,0.733,1.000,3,1.000,1.000
resp_exp_graphrag_target_neighborhood,negative_control_guard,3,1.000,1.000,1.000,0,1.000,1.000
resp_exp_graphrag_target_neighborhood,promoted_exact_binding,6,1.000,1.000,1.000,0,1.000,1.000
resp_exp_graphrag_target_neighborhood,strongest_promoted_by_target,3,1.000,1.000,1.000,0,1.000,1.000
resp_exp_text_rag_top1,concurrent_indicator_discrimination,3,0.667,0.762,1.000,1,0.952,0.667
resp_exp_text_rag_top1,leading_indicator_by_target,3,0.333,0.333,1.000,2,0.667,0.333
resp_exp_text_rag_top1,missing_exact_binding,11,0.636,0.740,1.000,4,0.896,0.636
resp_exp_text_rag_top1,model_revision_guard,3,0.000,0.500,1.000,3,0.667,0.000
resp_exp_text_rag_top1,negative_control_guard,3,0.333,0.524,1.000,2,0.714,0.333
resp_exp_text_rag_top1,promoted_exact_binding,6,0.667,0.762,1.000,2,0.857,0.667
resp_exp_text_rag_top1,strongest_promoted_by_target,3,0.667,0.667,1.000,1,0.857,0.667
resp_exp_text_rag_top2,concurrent_indicator_discrimination,3,1.000,1.000,1.000,0,1.000,1.000
resp_exp_text_rag_top2,leading_indicator_by_target,3,0.667,0.667,1.000,1,0.857,0.667
resp_exp_text_rag_top2,missing_exact_binding,11,0.909,0.935,1.000,1,0.974,0.909
resp_exp_text_rag_top2,model_revision_guard,3,0.000,0.700,1.000,3,0.900,0.000
resp_exp_text_rag_top2,negative_control_guard,3,0.667,0.762,1.000,1,0.905,0.667
resp_exp_text_rag_top2,promoted_exact_binding,6,1.000,1.000,1.000,0,1.000,1.000
resp_exp_text_rag_top2,strongest_promoted_by_target,3,0.667,0.667,1.000,1,0.952,0.667
