case_id,case_type,pipeline,target_signal,query,expected_selected_candidate,expected_status,expected_lag_weeks,expected_score,expected_paired_weeks,expected_edge_type,expected_evidence_claim_count,expected_typed_edge_count,must_include,must_not_include,grading_focus,notes
emp_hard_001,strongest_candidate_selection,empirical_influenza,FluSurv-NET influenza hospitalization rate,"Among the empirical influenza candidates, which signal has the strongest leading-indicator evidence for the hospitalization target?",Outpatient ILI activity,present,1,0.958037,29,LEADING_INDICATOR_FOR,4,3,Outpatient ILI activity; lag 1 week; r=0.958037; strongest by score; FluSurv-NET influenza hospitalization rate,causal proof; confirmed cause; Negative-control permuted surveillance signal as strongest; Chile Influenza Activity; Australia Influenza Activity,candidate_accuracy; score_binding_accuracy; causal_overclaim_avoidance; pipeline_isolation,Tests whether the method ranks the real empirical candidates by score without importing controlled fixture candidates.
emp_hard_002,strongest_candidate_selection,empirical_influenza,FluSurv-NET influenza hospitalization rate,"If only one empirical signal should be tested first as a possible model-revision feature, which should it be and why?",Outpatient ILI activity,present,1,0.958037,29,LEADING_INDICATOR_FOR,4,3,Outpatient ILI activity; highest positive lagged correlation; lag 1 week; r=0.958037; possible feature; not causal proof,validated forecast improvement; causally caused the peak; Negative-control permuted surveillance signal should be tested first,model_revision_recommendation; score_binding_accuracy; causal_overclaim_avoidance,Connects empirical evidence to a cautious future model-revision recommendation.
emp_hard_003,strongest_candidate_selection,empirical_influenza,FluSurv-NET influenza hospitalization rate,Rank the empirical influenza candidates by strength of evidence as leading indicators for FluSurv-NET hospitalization rate.,Outpatient ILI activity > Influenza A wastewater concentration > Influenza test positivity > Negative-control permuted surveillance signal,multi,multi,multi,multi,LEADING_INDICATOR_FOR for three positive candidates only,4,3,1. Outpatient ILI activity r=0.958037; 2. Influenza A wastewater concentration r=0.947016; 3. Influenza test positivity r=0.925810; negative control missing r=-0.048027,negative control present; negative control LEADING_INDICATOR_FOR; test positivity stronger than wastewater; wastewater stronger than ILI,ranking_accuracy; score_binding_accuracy; missing_edge_recall,Tests full ranked list and correct negative-control placement.
emp_hard_004,candidate_specific_evidence,empirical_influenza,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Outpatient ILI activity as a leading-indicator candidate for the hospitalization target?,Outpatient ILI activity,present,1,0.958037,29,LEADING_INDICATOR_FOR,4,3,Outpatient ILI activity; status present; lag 1 week; r=0.958037; paired weeks 29; FluSurv-NET influenza hospitalization rate; screening evidence,causal proof; confirmed driver; Negative-control permuted surveillance signal supports the target; Chile Influenza Activity; Australia Influenza Activity,status_accuracy; lag_accuracy; score_accuracy; paired_week_accuracy; causal_overclaim_avoidance,Tests whether the exact empirical evidence attributes stay attached to the correct candidate.
emp_hard_005,candidate_specific_evidence,empirical_influenza,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza A wastewater concentration as a leading-indicator candidate for the hospitalization target?,Influenza A wastewater concentration,present,1,0.947016,26,LEADING_INDICATOR_FOR,4,3,Influenza A wastewater concentration; status present; lag 1 week; r=0.947016; paired weeks 26; FluSurv-NET influenza hospitalization rate; screening evidence,causal proof; confirmed driver; Negative-control permuted surveillance signal supports the target; Chile Influenza Activity; Australia Influenza Activity,status_accuracy; lag_accuracy; score_accuracy; paired_week_accuracy; causal_overclaim_avoidance,Tests whether the exact empirical evidence attributes stay attached to the correct candidate.
emp_hard_006,candidate_specific_evidence,empirical_influenza,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza test positivity as a leading-indicator candidate for the hospitalization target?,Influenza test positivity,present,1,0.92581,29,LEADING_INDICATOR_FOR,4,3,Influenza test positivity; status present; lag 1 week; r=0.925810; paired weeks 29; FluSurv-NET influenza hospitalization rate; screening evidence,causal proof; confirmed driver; Negative-control permuted surveillance signal supports the target; Chile Influenza Activity; Australia Influenza Activity,status_accuracy; lag_accuracy; score_accuracy; paired_week_accuracy; causal_overclaim_avoidance,Tests whether the exact empirical evidence attributes stay attached to the correct candidate.
emp_hard_007,pairwise_comparison,empirical_influenza,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and wastewater concentration. Which has stronger empirical leading-indicator evidence and what are the exact scores?,Outpatient ILI activity,present,1,ILI 0.958037; wastewater 0.947016,ILI 29; wastewater 26,LEADING_INDICATOR_FOR,4,3,Outpatient ILI activity stronger; ILI r=0.958037; wastewater r=0.947016; both lag 1 week,wastewater stronger than ILI; causal proof; score swapped,pairwise_ranking_accuracy; score_binding_accuracy; lag_accuracy,Tests score binding between two very similar positive signals.
emp_hard_008,pairwise_comparison,empirical_influenza,FluSurv-NET influenza hospitalization rate,Compare wastewater concentration and test positivity. Which has stronger empirical evidence and what should not be overclaimed?,Influenza A wastewater concentration,present,1,wastewater 0.947016; test positivity 0.925810,wastewater 26; test positivity 29,LEADING_INDICATOR_FOR,4,3,wastewater stronger; wastewater r=0.947016; test positivity r=0.925810; both lag 1 week; not causal proof,test positivity stronger than wastewater; forecast improvement validated; causal discovery,pairwise_ranking_accuracy; score_binding_accuracy; causal_overclaim_avoidance,Tests close-score comparison and cautious interpretation.
emp_hard_009,pairwise_comparison,empirical_influenza,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and test positivity as candidates. Which has stronger evidence and what evidence attributes should be preserved?,Outpatient ILI activity,present,1,ILI 0.958037; test positivity 0.925810,both 29,LEADING_INDICATOR_FOR,4,3,Outpatient ILI activity stronger; ILI r=0.958037; test positivity r=0.925810; both lag 1 week; paired weeks 29,test positivity stronger than ILI; score swapped; causal proof,pairwise_ranking_accuracy; score_binding_accuracy; paired_week_accuracy,Tests score and paired-week preservation when paired-week counts match.
emp_hard_010,negative_control_preservation,empirical_influenza,FluSurv-NET influenza hospitalization rate,Does the deterministic negative-control permuted signal support a leading-indicator relationship with FluSurv-NET hospitalization rate?,Negative-control permuted surveillance signal,missing,4,-0.048027,26,,4,3,Negative-control permuted surveillance signal; status missing; r=-0.048027; best positive lag 4 weeks; EvidenceClaim only; not promoted into LEADING_INDICATOR_FOR,present leading indicator; typed LEADING_INDICATOR_FOR edge; supports model revision; causal proof,missing_edge_recall; false_positive_edge_claims; lag_accuracy; score_accuracy,Tests preservation of missing evidence despite a best-lag field being present.
