case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms_json,forbidden_terms_present_json,answer_length_chars,retrieval_coverage,retrieval_all_required_terms_present,retrieval_missing_terms_json,retrieved_chunk_ids,retrieved_chunk_titles,question,expected_answer,answer,retrieval_coverage_bucket
resp_exp_001,resp_exp_text_rag_top1,promoted_exact_binding,1.000,True,True,[],[],170,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for candidate 'Influenza test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_002,resp_exp_text_rag_top1,promoted_exact_binding,1.000,True,True,[],[],161,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for candidate 'RSV test positivity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_003,resp_exp_text_rag_top1,promoted_exact_binding,0.286,True,False,"[""lag=0"", ""r=0.883280"", ""paired_weeks=233"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]",[],149,0.571,False,"[""r=0.883280"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]","Give the exact evidence binding for candidate 'Wastewater SARS-CoV-2 viral activity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_004,resp_exp_text_rag_top1,promoted_exact_binding,1.000,True,True,[],[],163,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for candidate 'COVID-19 test positivity' and target 'COVID-NET COVID-19 hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_005,resp_exp_text_rag_top1,promoted_exact_binding,0.286,True,False,"[""lag=0"", ""r=0.769103"", ""paired_weeks=194"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]",[],131,0.571,False,"[""r=0.769103"", ""paired_weeks=194"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]","Give the exact evidence binding for candidate 'Influenza test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.",The exact Influenza test positivity -> RSV-NET RSV hospitalization rate binding is not available in the retrieved Text-RAG context.,retrieval_partial_lt_0.75
resp_exp_006,resp_exp_text_rag_top1,promoted_exact_binding,1.000,True,True,[],[],151,1.000,True,[],"[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]","Give the exact evidence binding for candidate 'RSV test positivity' and target 'RSV-NET RSV hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is screening evidence only, not causal proof or validated forecast improvement.","RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR.",retrieval_full_coverage
resp_exp_007,resp_exp_text_rag_top1,missing_exact_binding,1.000,True,True,[],[],184,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Deterministic negative-control surveillance signal' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE.",retrieval_full_coverage
resp_exp_008,resp_exp_text_rag_top1,missing_exact_binding,1.000,True,True,[],[],170,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater SARS-CoV-2 viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE.",retrieval_full_coverage
resp_exp_009,resp_exp_text_rag_top1,missing_exact_binding,1.000,True,True,[],[],163,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater RSV viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater RSV viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.427575, paired_weeks=166, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater RSV viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.427575, paired_weeks=166, evidence_status=missing, edge_type=NO_TYPED_EDGE.",retrieval_full_coverage
resp_exp_010,resp_exp_text_rag_top1,missing_exact_binding,1.000,True,True,[],[],171,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]","Give the exact evidence binding for the unpromoted claim involving candidate 'Wastewater Influenza A viral activity' and target 'FluSurv-NET influenza hospitalization rate'. Use the format candidate -> target: lag=..., r=..., paired_weeks=..., evidence_status=..., edge_type=....","Wastewater Influenza A viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.167332, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE. This is screening evidence only, not causal proof or validated forecast improvement.","Wastewater Influenza A viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.167332, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE.",retrieval_full_coverage
