case_id,case_type,target_signal,query,expected_answer,must_include_terms,must_not_include_terms,notes
adv_bind_001,score_binding,FluSurv-NET influenza hospitalization rate,"Which empirical candidate has r=0.958037, and what lag and edge status belong to it?",Outpatient ILI activity has r=0.958037 at lag 1 week and has a typed LEADING_INDICATOR_FOR edge.,"[""Outpatient ILI activity"", ""r=0.958037"", ""lag 1 week"", ""typed LEADING_INDICATOR_FOR edge""]","[""Influenza A wastewater concentration has r=0.958037"", ""Influenza test positivity has r=0.958037"", ""Negative-control permuted surveillance signal has r=0.958037"", ""causal proof""]",Tests exact score-to-candidate binding.
adv_bind_002,score_binding,FluSurv-NET influenza hospitalization rate,"Which empirical candidate has r=0.947016, and what paired-week count belongs to it?",Influenza A wastewater concentration has r=0.947016 with 26 paired weeks.,"[""Influenza A wastewater concentration"", ""r=0.947016"", ""26 paired weeks""]","[""Outpatient ILI activity has r=0.947016"", ""Influenza test positivity has r=0.947016"", ""29 paired weeks for wastewater"", ""causal proof""]",Tests score and paired-week binding.
adv_bind_003,score_binding,FluSurv-NET influenza hospitalization rate,"Which empirical candidate has r=0.925810, and what edge status belongs to it?",Influenza test positivity has r=0.925810 and has a typed LEADING_INDICATOR_FOR edge.,"[""Influenza test positivity"", ""r=0.925810"", ""typed LEADING_INDICATOR_FOR edge""]","[""Outpatient ILI activity has r=0.925810"", ""Influenza A wastewater concentration has r=0.925810"", ""no typed LEADING_INDICATOR_FOR edge for test positivity"", ""causal proof""]",Tests score-to-edge binding.
adv_bind_004,negative_control_guard,FluSurv-NET influenza hospitalization rate,"Which candidate has r=-0.048027, and should it be promoted into a typed edge?",The negative-control permuted surveillance signal has r=-0.048027 and should not be promoted into a typed LEADING_INDICATOR_FOR edge.,"[""Negative-control permuted surveillance signal"", ""r=-0.048027"", ""not promoted"", ""no typed LEADING_INDICATOR_FOR edge""]","[""typed LEADING_INDICATOR_FOR edge for the negative control"", ""negative control is present"", ""causal proof""]",Tests negative-control preservation.
adv_bind_005,ranking_binding,FluSurv-NET influenza hospitalization rate,Rank the three supported empirical candidates by score without mixing their scores.,"Outpatient ILI activity ranks first at r=0.958037, Influenza A wastewater concentration second at r=0.947016, and Influenza test positivity third at r=0.925810.","[""Outpatient ILI activity"", ""r=0.958037"", ""Influenza A wastewater concentration"", ""r=0.947016"", ""Influenza test positivity"", ""r=0.925810""]","[""Negative-control permuted surveillance signal ranks first"", ""Chile Influenza Activity"", ""Australia Influenza Activity"", ""causal proof""]",Tests multi-candidate score ordering.
adv_bind_006,claim_vs_edge_count,FluSurv-NET influenza hospitalization rate,"How many EvidenceClaims exist, and how many typed LEADING_INDICATOR_FOR edges exist?",There are 4 EvidenceClaims but only 3 typed LEADING_INDICATOR_FOR edges.,"[""4 EvidenceClaims"", ""3 typed LEADING_INDICATOR_FOR edges""]","[""4 typed LEADING_INDICATOR_FOR edges"", ""3 EvidenceClaims"", ""all EvidenceClaims become typed edges""]",Tests distinction between evidence claims and promoted KG edges.
adv_bind_007,claim_vs_edge_count,FluSurv-NET influenza hospitalization rate,Why does the number of EvidenceClaims differ from the number of typed edges?,The negative-control claim exists as an EvidenceClaim with missing evidence but was not promoted into a typed LEADING_INDICATOR_FOR edge.,"[""Negative-control permuted surveillance signal"", ""EvidenceClaim"", ""missing"", ""not promoted""]","[""all EvidenceClaims become typed edges"", ""negative control was promoted"", ""causal proof""]",Tests promotion logic.
adv_bind_008,pipeline_isolation,FluSurv-NET influenza hospitalization rate,Should Chile Influenza Activity be included in the empirical_influenza answer?,No. Chile Influenza Activity is a controlled-fixture distractor and should not be included in the empirical_influenza answer.,"[""No"", ""Chile Influenza Activity"", ""controlled-fixture distractor"", ""empirical_influenza""]","[""Chile Influenza Activity has empirical_influenza evidence"", ""Chile Influenza Activity should be included"", ""r=0.958037 for Chile""]",Tests pipeline isolation.
adv_bind_009,pipeline_isolation,FluSurv-NET influenza hospitalization rate,List only the empirical_influenza candidates and exclude controlled-fixture distractors.,"The empirical candidates are Outpatient ILI activity, Influenza A wastewater concentration, Influenza test positivity, and Negative-control permuted surveillance signal.","[""Outpatient ILI activity"", ""Influenza A wastewater concentration"", ""Influenza test positivity"", ""Negative-control permuted surveillance signal""]","[""Chile Influenza Activity"", ""Australia Influenza Activity"", ""Travel Importation Pressure"", ""Humidity Drop""]",Tests whether distractor candidates are imported.
adv_bind_010,model_revision_guard,FluSurv-NET influenza hospitalization rate,Recommend one empirical model-revision candidate and explain the evidence without causal overclaiming.,"Outpatient ILI activity is the strongest screening candidate, with present evidence, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge; this is not causal proof and needs downstream validation.","[""Outpatient ILI activity"", ""present"", ""lag 1 week"", ""r=0.958037"", ""29 paired weeks"", ""typed LEADING_INDICATOR_FOR edge"", ""not causal proof"", ""downstream validation""]","[""forecast improvement is validated"", ""causal proof"", ""Negative-control permuted surveillance signal should be added""]",Tests evidence-grounded model-edit recommendation.
adv_bind_011,model_revision_guard,FluSurv-NET influenza hospitalization rate,Which candidate should be excluded from a model revision despite having a listed best lag?,"The Negative-control permuted surveillance signal should be excluded because its evidence status is missing, r=-0.048027 at lag 4 weeks, and it has no typed LEADING_INDICATOR_FOR edge.","[""Negative-control permuted surveillance signal"", ""excluded"", ""missing"", ""r=-0.048027"", ""lag 4 weeks"", ""no typed LEADING_INDICATOR_FOR edge""]","[""negative control should be added"", ""negative control is present"", ""causal proof""]",Tests lag without support.
adv_bind_012,edge_status_binding,FluSurv-NET influenza hospitalization rate,Which three candidates received typed LEADING_INDICATOR_FOR edges?,"Outpatient ILI activity, Influenza A wastewater concentration, and Influenza test positivity received typed LEADING_INDICATOR_FOR edges.","[""Outpatient ILI activity"", ""Influenza A wastewater concentration"", ""Influenza test positivity"", ""typed LEADING_INDICATOR_FOR edge""]","[""Negative-control permuted surveillance signal received a typed LEADING_INDICATOR_FOR edge"", ""Chile Influenza Activity"", ""Australia Influenza Activity""]",Tests promoted edge membership.
adv_bind_013,pairwise_score_binding,FluSurv-NET influenza hospitalization rate,Which candidate is stronger by score: Outpatient ILI activity or Influenza A wastewater concentration?,Outpatient ILI activity is stronger by score. Outpatient ILI activity has r=0.958037; Influenza A wastewater concentration has r=0.947016.,"[""Outpatient ILI activity"", ""Outpatient ILI activity"", ""r=0.958037"", ""Influenza A wastewater concentration"", ""r=0.947016""]","[""causal proof"", ""forecast improvement is validated""]",Tests pairwise score comparison without score swapping.
adv_bind_014,pairwise_score_binding,FluSurv-NET influenza hospitalization rate,Which candidate is stronger by score: Influenza A wastewater concentration or Influenza test positivity?,Influenza A wastewater concentration is stronger by score. Influenza A wastewater concentration has r=0.947016; Influenza test positivity has r=0.925810.,"[""Influenza A wastewater concentration"", ""Influenza A wastewater concentration"", ""r=0.947016"", ""Influenza test positivity"", ""r=0.925810""]","[""causal proof"", ""forecast improvement is validated""]",Tests pairwise score comparison without score swapping.
adv_bind_015,pairwise_score_binding,FluSurv-NET influenza hospitalization rate,Which candidate is stronger by score: Outpatient ILI activity or Influenza test positivity?,Outpatient ILI activity is stronger by score. Outpatient ILI activity has r=0.958037; Influenza test positivity has r=0.925810.,"[""Outpatient ILI activity"", ""Outpatient ILI activity"", ""r=0.958037"", ""Influenza test positivity"", ""r=0.925810""]","[""causal proof"", ""forecast improvement is validated""]",Tests pairwise score comparison without score swapping.
adv_bind_016,paired_week_binding,FluSurv-NET influenza hospitalization rate,Which candidates have 29 paired weeks?,Outpatient ILI activity and Influenza test positivity have 29 paired weeks.,"[""Outpatient ILI activity"", ""Influenza test positivity"", ""29 paired weeks""]","[""Influenza A wastewater concentration has 29 paired weeks"", ""Negative-control permuted surveillance signal has 29 paired weeks""]",Tests paired-week count binding.
adv_bind_017,paired_week_binding,FluSurv-NET influenza hospitalization rate,Which candidates have 26 paired weeks?,Influenza A wastewater concentration and the Negative-control permuted surveillance signal have 26 paired weeks.,"[""Influenza A wastewater concentration"", ""Negative-control permuted surveillance signal"", ""26 paired weeks""]","[""Outpatient ILI activity has 26 paired weeks"", ""Influenza test positivity has 26 paired weeks""]",Tests paired-week count binding with one positive and one negative-control claim.
adv_bind_018,lag_binding,FluSurv-NET influenza hospitalization rate,Which supported empirical candidates have lag 1 week?,"Outpatient ILI activity, Influenza A wastewater concentration, and Influenza test positivity are supported candidates at lag 1 week.","[""Outpatient ILI activity"", ""Influenza A wastewater concentration"", ""Influenza test positivity"", ""lag 1 week""]","[""Negative-control permuted surveillance signal is supported at lag 1 week"", ""Chile Influenza Activity""]",Tests lag binding for supported candidates.
adv_bind_019,lag_binding,FluSurv-NET influenza hospitalization rate,"Which candidate has lag 4 weeks, and why is that not enough to support an edge?","The Negative-control permuted surveillance signal has lag 4 weeks, but its evidence status is missing and its score is r=-0.048027, so it has no typed LEADING_INDICATOR_FOR edge.","[""Negative-control permuted surveillance signal"", ""lag 4 weeks"", ""missing"", ""r=-0.048027"", ""no typed LEADING_INDICATOR_FOR edge""]","[""negative control is supported"", ""negative control has a typed LEADING_INDICATOR_FOR edge"", ""causal proof""]",Tests lag vs support distinction.
adv_bind_020,causal_overclaim_guard,FluSurv-NET influenza hospitalization rate,Do these lagged correlations prove that the candidates caused hospitalizations to rise?,"No. The lagged correlations are screening evidence for possible model-revision testing, not causal proof.","[""No"", ""screening evidence"", ""not causal proof""]","[""prove causality"", ""caused hospitalizations"", ""forecast improvement is validated""]",Tests causal-overclaim guard.
