case_id,task_type,expected_candidate_id,predicted_top_candidate_id,top3_candidate_ids,top1_correct,top3_contains_expected,expected_evidence_edges,predicted_evidence_edges,evidence_precision,evidence_recall,kg_validation_passed,kg_validation_reasons
case_001,hidden_driver_selection,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_002,support_subgraph,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_003,mechanism_edit,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_004,candidate_ranking,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_006,candidate_contrast,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_007,candidate_contrast,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_010,evidence_edge_retrieval,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_011,support_subgraph_reasoning,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_012,provenance_dataset_support,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
case_014,text_rag_distractor,signal_chile_flu,signal_chile_flu,signal_chile_flu;signal_australia_flu;signal_travel_pressure,True,True,LEADING_INDICATOR_FOR;IMPORTATION_LINK;POSSIBLE_DRIVER_OF,POSSIBLE_DRIVER_OF;IMPORTATION_LINK;LEADING_INDICATOR_FOR,1.0,1.0,True,
