case_id,method,case_type,target_signal,query
emp_hard_001,empirical_llm_only,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"Among the empirical influenza candidates, which signal has the strongest leading-indicator evidence for the hospitalization target?"
emp_hard_002,empirical_llm_only,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"If only one empirical signal should be tested first as a possible model-revision feature, which should it be and why?"
emp_hard_003,empirical_llm_only,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,Rank the empirical influenza candidates by strength of evidence as leading indicators for FluSurv-NET hospitalization rate.
emp_hard_004,empirical_llm_only,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Outpatient ILI activity as a leading-indicator candidate for the hospitalization target?
emp_hard_005,empirical_llm_only,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza A wastewater concentration as a leading-indicator candidate for the hospitalization target?
emp_hard_006,empirical_llm_only,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza test positivity as a leading-indicator candidate for the hospitalization target?
emp_hard_007,empirical_llm_only,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and wastewater concentration. Which has stronger empirical leading-indicator evidence and what are the exact scores?
emp_hard_008,empirical_llm_only,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare wastewater concentration and test positivity. Which has stronger empirical evidence and what should not be overclaimed?
emp_hard_009,empirical_llm_only,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and test positivity as candidates. Which has stronger evidence and what evidence attributes should be preserved?
emp_hard_010,empirical_llm_only,negative_control_preservation,FluSurv-NET influenza hospitalization rate,Does the deterministic negative-control permuted signal support a leading-indicator relationship with FluSurv-NET hospitalization rate?
emp_hard_011,empirical_llm_only,negative_control_preservation,FluSurv-NET influenza hospitalization rate,The negative-control signal has a listed best lag. Should it be treated as present evidence? Explain using the score.
emp_hard_012,empirical_llm_only,negative_control_preservation,FluSurv-NET influenza hospitalization rate,"Which empirical candidate was intentionally used to test missing-evidence preservation, and how did the KG represent it?"
emp_hard_013,empirical_llm_only,negative_control_preservation,FluSurv-NET influenza hospitalization rate,How many positive typed leading-indicator edges should exist after including the negative control?
emp_hard_014,empirical_llm_only,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,Summarize the evidence for all three positive empirical candidates without mixing their scores.
emp_hard_015,empirical_llm_only,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,"A retrieved passage mentions ILI, wastewater, and test positivity together. State which score belongs to each candidate."
emp_hard_016,empirical_llm_only,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,"Which empirical candidates had lag 1 present evidence, and which candidate did not have present evidence?"
emp_hard_017,empirical_llm_only,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,Identify any empirical candidate that should not receive a typed leading-indicator edge and explain why.
emp_hard_018,empirical_llm_only,evidence_claim_vs_typed_edge,FluSurv-NET influenza hospitalization rate,Explain the difference between the four empirical EvidenceClaims and the three typed KG edges.
emp_hard_019,empirical_llm_only,evidence_claim_vs_typed_edge,FluSurv-NET influenza hospitalization rate,"If an answer says there were four empirical leading-indicator KG edges, what is wrong with that answer?"
emp_hard_020,empirical_llm_only,causal_overclaim_guard,FluSurv-NET influenza hospitalization rate,"Do the empirical influenza results prove that ILI, wastewater, or test positivity caused the hospitalization target to rise?"
emp_hard_021,empirical_llm_only,causal_overclaim_guard,FluSurv-NET influenza hospitalization rate,Write a thesis-safe interpretation of the empirical influenza extension in one paragraph.
emp_hard_022,empirical_llm_only,pipeline_isolation,FluSurv-NET influenza hospitalization rate,"In the empirical_influenza pipeline, which candidates should be considered for the hospitalization target?"
emp_hard_023,empirical_llm_only,pipeline_isolation,FluSurv-NET influenza hospitalization rate,Should controlled fixture candidates such as Chile or Australia influenza activity appear in the empirical influenza KG context answer?
emp_hard_024,empirical_llm_only,model_revision_recommendation,FluSurv-NET influenza hospitalization rate,"Based on the empirical claims, propose a cautious next model-revision test and mention the main limitations."
emp_hard_001,empirical_text_rag_clean,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"Among the empirical influenza candidates, which signal has the strongest leading-indicator evidence for the hospitalization target?"
emp_hard_002,empirical_text_rag_clean,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"If only one empirical signal should be tested first as a possible model-revision feature, which should it be and why?"
emp_hard_003,empirical_text_rag_clean,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,Rank the empirical influenza candidates by strength of evidence as leading indicators for FluSurv-NET hospitalization rate.
emp_hard_004,empirical_text_rag_clean,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Outpatient ILI activity as a leading-indicator candidate for the hospitalization target?
emp_hard_005,empirical_text_rag_clean,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza A wastewater concentration as a leading-indicator candidate for the hospitalization target?
emp_hard_006,empirical_text_rag_clean,candidate_specific_evidence,FluSurv-NET influenza hospitalization rate,What empirical evidence supports Influenza test positivity as a leading-indicator candidate for the hospitalization target?
emp_hard_007,empirical_text_rag_clean,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and wastewater concentration. Which has stronger empirical leading-indicator evidence and what are the exact scores?
emp_hard_008,empirical_text_rag_clean,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare wastewater concentration and test positivity. Which has stronger empirical evidence and what should not be overclaimed?
emp_hard_009,empirical_text_rag_clean,pairwise_comparison,FluSurv-NET influenza hospitalization rate,Compare outpatient ILI activity and test positivity as candidates. Which has stronger evidence and what evidence attributes should be preserved?
emp_hard_010,empirical_text_rag_clean,negative_control_preservation,FluSurv-NET influenza hospitalization rate,Does the deterministic negative-control permuted signal support a leading-indicator relationship with FluSurv-NET hospitalization rate?
emp_hard_011,empirical_text_rag_clean,negative_control_preservation,FluSurv-NET influenza hospitalization rate,The negative-control signal has a listed best lag. Should it be treated as present evidence? Explain using the score.
emp_hard_012,empirical_text_rag_clean,negative_control_preservation,FluSurv-NET influenza hospitalization rate,"Which empirical candidate was intentionally used to test missing-evidence preservation, and how did the KG represent it?"
emp_hard_013,empirical_text_rag_clean,negative_control_preservation,FluSurv-NET influenza hospitalization rate,How many positive typed leading-indicator edges should exist after including the negative control?
emp_hard_014,empirical_text_rag_clean,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,Summarize the evidence for all three positive empirical candidates without mixing their scores.
emp_hard_015,empirical_text_rag_clean,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,"A retrieved passage mentions ILI, wastewater, and test positivity together. State which score belongs to each candidate."
emp_hard_016,empirical_text_rag_clean,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,"Which empirical candidates had lag 1 present evidence, and which candidate did not have present evidence?"
emp_hard_017,empirical_text_rag_clean,evidence_blurring_score_binding,FluSurv-NET influenza hospitalization rate,Identify any empirical candidate that should not receive a typed leading-indicator edge and explain why.
emp_hard_018,empirical_text_rag_clean,evidence_claim_vs_typed_edge,FluSurv-NET influenza hospitalization rate,Explain the difference between the four empirical EvidenceClaims and the three typed KG edges.
emp_hard_019,empirical_text_rag_clean,evidence_claim_vs_typed_edge,FluSurv-NET influenza hospitalization rate,"If an answer says there were four empirical leading-indicator KG edges, what is wrong with that answer?"
emp_hard_020,empirical_text_rag_clean,causal_overclaim_guard,FluSurv-NET influenza hospitalization rate,"Do the empirical influenza results prove that ILI, wastewater, or test positivity caused the hospitalization target to rise?"
emp_hard_021,empirical_text_rag_clean,causal_overclaim_guard,FluSurv-NET influenza hospitalization rate,Write a thesis-safe interpretation of the empirical influenza extension in one paragraph.
emp_hard_022,empirical_text_rag_clean,pipeline_isolation,FluSurv-NET influenza hospitalization rate,"In the empirical_influenza pipeline, which candidates should be considered for the hospitalization target?"
emp_hard_023,empirical_text_rag_clean,pipeline_isolation,FluSurv-NET influenza hospitalization rate,Should controlled fixture candidates such as Chile or Australia influenza activity appear in the empirical influenza KG context answer?
emp_hard_024,empirical_text_rag_clean,model_revision_recommendation,FluSurv-NET influenza hospitalization rate,"Based on the empirical claims, propose a cautious next model-revision test and mention the main limitations."
emp_hard_001,empirical_text_rag_blended,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"Among the empirical influenza candidates, which signal has the strongest leading-indicator evidence for the hospitalization target?"
emp_hard_002,empirical_text_rag_blended,strongest_candidate_selection,FluSurv-NET influenza hospitalization rate,"If only one empirical signal should be tested first as a possible model-revision feature, which should it be and why?"
