case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms,forbidden_terms_present,answer_length_chars,answer
adv_bind_001,adversarial_text_rag_retrieval_limited,score_binding,0.250,1,0,"[""Outpatient ILI activity"", ""lag 1 week"", ""typed LEADING_INDICATOR_FOR edge""]",[],182,"The exact candidate-to-r=0.958037 binding is not available from the retrieved text. Its candidate-specific lag and typed-edge status are also unavailable, so they cannot be inferred."
adv_bind_002,adversarial_text_rag_retrieval_limited,score_binding,0.333,1,0,"[""Influenza A wastewater concentration"", ""26 paired weeks""]",[],168,The exact candidate-to-r=0.947016 binding is not available from the retrieved text. The associated paired-week count is likewise unavailable and should not be invented.
adv_bind_003,adversarial_text_rag_retrieval_limited,score_binding,0.333,1,0,"[""Influenza test positivity"", ""typed LEADING_INDICATOR_FOR edge""]",[],170,The exact candidate-to-r=0.925810 binding is not available from the retrieved text. The candidate's evidence and typed-edge status are also not preserved in this snippet.
adv_bind_004,adversarial_text_rag_retrieval_limited,negative_control_guard,0.250,1,0,"[""Negative-control permuted surveillance signal"", ""not promoted"", ""no typed LEADING_INDICATOR_FOR edge""]",[],259,"The snippet says a negative control was included, but it does not bind r=-0.048027 to a named candidate or provide its exact lag, paired-week count, evidence status, or edge status. Therefore the retrieved text does not support promoting it into a typed edge."
adv_bind_005,adversarial_text_rag_retrieval_limited,ranking_binding,0.000,1,0,"[""Outpatient ILI activity"", ""r=0.958037"", ""Influenza A wastewater concentration"", ""r=0.947016"", ""Influenza test positivity"", ""r=0.925810""]",[],218,"The retrieved text says three empirical candidates were supported and one negative control was not, but it omits the ordered score table. The candidates cannot be ranked by score without inventing the missing bindings."
adv_bind_006,adversarial_text_rag_retrieval_limited,claim_vs_edge_count,0.000,1,0,"[""4 EvidenceClaims"", ""3 typed LEADING_INDICATOR_FOR edges""]",[],227,The exact EvidenceClaim count and typed LEADING_INDICATOR_FOR edge count are not available from the retrieved text. It only establishes that claims and typed edges are different objects and that some claims may not be promoted.
adv_bind_007,adversarial_text_rag_retrieval_limited,claim_vs_edge_count,0.250,1,0,"[""Negative-control permuted surveillance signal"", ""missing"", ""not promoted""]",[],212,"EvidenceClaims can record evaluated assertions that do not satisfy promotion into typed KG edges, so the counts may differ. The retrieved text does not provide either exact count or identify the unpromoted claim."
adv_bind_008,adversarial_text_rag_retrieval_limited,pipeline_isolation,0.750,1,0,"[""controlled-fixture distractor""]",[],205,No. Chile Influenza Activity belongs to a controlled fixture scenario and should not be imported into the empirical_influenza answer. The retrieved text does not provide the full empirical candidate table.
adv_bind_009,adversarial_text_rag_retrieval_limited,pipeline_isolation,0.000,1,0,"[""Outpatient ILI activity"", ""Influenza A wastewater concentration"", ""Influenza test positivity"", ""Negative-control permuted surveillance signal""]",[],228,"The retrieved text does not provide the full empirical_influenza candidate table, so an exact candidate list cannot be given. Controlled-fixture distractors should remain excluded rather than being used to fill the missing list."
adv_bind_010,adversarial_text_rag_retrieval_limited,model_revision_guard,0.125,1,0,"[""Outpatient ILI activity"", ""present"", ""lag 1 week"", ""r=0.958037"", ""29 paired weeks"", ""typed LEADING_INDICATOR_FOR edge"", ""not causal proof""]",[],323,"The retrieved text does not identify a supported candidate or provide its exact score, lag, paired-week count, evidence status, or edge status, so one candidate cannot be recommended responsibly. Any future model-revision test should use retrieved screening evidence and require downstream validation without causal claims."
