case_id,case_type,method,top_k,coverage,all_required_terms_present,missing_terms_json,retrieved_chunk_ids,retrieved_chunk_titles,retrieval_scores
resp_exp_001,promoted_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]",[84.146]
resp_exp_002,promoted_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]",[86.244]
resp_exp_003,promoted_exact_binding,resp_exp_text_rag_top1,1,0.571,False,"[""r=0.883280"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""resp_exp_text_chunk_005_memo""]","[""Mixed respiratory evidence memo fragment 4""]",[88.753]
resp_exp_004,promoted_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",[83.919]
resp_exp_005,promoted_exact_binding,resp_exp_text_rag_top1,1,0.571,False,"[""r=0.769103"", ""paired_weeks=194"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]",[85.495]
resp_exp_006,promoted_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_004_memo""]","[""Mixed respiratory evidence memo fragment 3""]",[83.396]
resp_exp_007,missing_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",[89.027]
resp_exp_008,missing_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]",[90.899]
resp_exp_009,missing_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]",[89.611]
resp_exp_010,missing_exact_binding,resp_exp_text_rag_top1,1,1.000,True,[],"[""resp_exp_text_chunk_002_memo""]","[""Mixed respiratory evidence memo fragment 1""]",[90.304]
resp_exp_011,missing_exact_binding,resp_exp_text_rag_top1,1,0.571,False,"[""lag=2"", ""r=0.022977"", ""paired_weeks=328""]","[""resp_exp_text_chunk_003_memo""]","[""Mixed respiratory evidence memo fragment 2""]",[89.25]
