case_id,method,case_type,include_score,forbidden_ok,overall_pass,missing_required_terms,forbidden_terms_present,answer_length_chars,answer
adv_bind_001,adversarial_graphrag_context,score_binding,1.000,1,1,[],[],186,"Outpatient ILI activity has evidence status present, lag 1 week, r=0.958037, and 29 paired weeks. It has a typed LEADING_INDICATOR_FOR edge; this is screening evidence, not causal proof."
adv_bind_002,adversarial_graphrag_context,score_binding,1.000,1,1,[],[],186,"Influenza A wastewater concentration has evidence status present, lag 1 week, r=0.947016, and 26 paired weeks. It has a typed LEADING_INDICATOR_FOR edge; this remains screening evidence."
adv_bind_003,adversarial_graphrag_context,score_binding,1.000,1,1,[],[],204,"Influenza test positivity has evidence status present, lag 1 week, r=0.925810, and 29 paired weeks. It has a typed LEADING_INDICATOR_FOR edge, without implying causality or validated forecast improvement."
adv_bind_004,adversarial_graphrag_context,negative_control_guard,1.000,1,1,[],[],186,"Negative-control permuted surveillance signal has evidence status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks. It was not promoted and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_005,adversarial_graphrag_context,ranking_binding,1.000,1,1,[],[],407,"The supported ranking is 1. Outpatient ILI activity: status present, lag 1 week, r=0.958037, 29 paired weeks, typed LEADING_INDICATOR_FOR edge; 2. Influenza A wastewater concentration: status present, lag 1 week, r=0.947016, 26 paired weeks, typed edge; 3. Influenza test positivity: status present, lag 1 week, r=0.925810, 29 paired weeks, typed edge. These scores are screening evidence, not causal proof."
adv_bind_006,adversarial_graphrag_context,claim_vs_edge_count,1.000,1,1,[],[],215,"There are 4 EvidenceClaims and 3 typed LEADING_INDICATOR_FOR edges. The three status-present candidates have typed edges, while the Negative-control permuted surveillance signal has status missing and no typed edge."
adv_bind_007,adversarial_graphrag_context,claim_vs_edge_count,1.000,1,1,[],[],319,"The counts differ because all four evaluations exist as EvidenceClaims, but only the three status-present candidates have typed LEADING_INDICATOR_FOR edges. The Negative-control permuted surveillance signal has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks, so it was not promoted and has no typed edge."
adv_bind_008,adversarial_graphrag_context,pipeline_isolation,1.000,1,1,[],[],142,No. Chile Influenza Activity is listed as a controlled-fixture distractor to exclude and is not part of the empirical_influenza candidate set.
adv_bind_009,adversarial_graphrag_context,pipeline_isolation,1.000,1,1,[],[],336,"The empirical_influenza candidates are only Outpatient ILI activity, Influenza A wastewater concentration, Influenza test positivity, and Negative-control permuted surveillance signal. The first three have evidence status present and typed LEADING_INDICATOR_FOR edges; the negative control has evidence status missing and no typed edge."
adv_bind_010,adversarial_graphrag_context,model_revision_guard,1.000,1,1,[],[],314,"Outpatient ILI activity is the strongest candidate for a cautious model-revision test: evidence status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. This is screening evidence, not causal proof, and downstream validation is required before claiming forecast improvement."
adv_bind_011,adversarial_graphrag_context,model_revision_guard,1.000,1,1,[],[],257,"Negative-control permuted surveillance signal should be excluded from model revision despite its listed best lag. It has evidence status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks; it was not promoted and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_012,adversarial_graphrag_context,edge_status_binding,1.000,1,1,[],[],370,"The typed LEADING_INDICATOR_FOR edges belong to Outpatient ILI activity (status present, lag 1 week, r=0.958037, 29 paired weeks), Influenza A wastewater concentration (status present, lag 1 week, r=0.947016, 26 paired weeks), and Influenza test positivity (status present, lag 1 week, r=0.925810, 29 paired weeks). These are the three supported screening relationships."
adv_bind_013,adversarial_graphrag_context,pairwise_score_binding,1.000,1,1,[],[],276,"Outpatient ILI activity is stronger by score: evidence status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza A wastewater concentration has evidence status present, lag 1 week, r=0.947016, 26 paired weeks, and a typed edge."
adv_bind_014,adversarial_graphrag_context,pairwise_score_binding,1.000,1,1,[],[],278,"Influenza A wastewater concentration is stronger by score: evidence status present, lag 1 week, r=0.947016, 26 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza test positivity has evidence status present, lag 1 week, r=0.925810, 29 paired weeks, and a typed edge."
adv_bind_015,adversarial_graphrag_context,pairwise_score_binding,1.000,1,1,[],[],265,"Outpatient ILI activity is stronger by score: evidence status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza test positivity has evidence status present, lag 1 week, r=0.925810, 29 paired weeks, and a typed edge."
adv_bind_016,adversarial_graphrag_context,paired_week_binding,1.000,1,1,[],[],211,"Outpatient ILI activity and Influenza test positivity each have 29 paired weeks. Both have evidence status present, lag 1 week, and typed LEADING_INDICATOR_FOR edges, with r=0.958037 and r=0.925810 respectively."
adv_bind_017,adversarial_graphrag_context,paired_week_binding,1.000,1,1,[],[],312,"Influenza A wastewater concentration and Negative-control permuted surveillance signal each have 26 paired weeks. Wastewater has evidence status present, lag 1 week, r=0.947016, and a typed LEADING_INDICATOR_FOR edge; the negative control has evidence status missing, lag 4 weeks, r=-0.048027, and no typed edge."
adv_bind_018,adversarial_graphrag_context,lag_binding,1.000,1,1,[],[],360,"The supported candidates with lag 1 week are Outpatient ILI activity (status present, r=0.958037, 29 paired weeks), Influenza A wastewater concentration (status present, r=0.947016, 26 paired weeks), and Influenza test positivity (status present, r=0.925810, 29 paired weeks). Each has a typed LEADING_INDICATOR_FOR edge, and each result is screening evidence."
adv_bind_019,adversarial_graphrag_context,lag_binding,1.000,1,1,[],[],241,"Negative-control permuted surveillance signal has evidence status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks. A listed best lag alone does not establish support, so it was not promoted and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_020,adversarial_graphrag_context,causal_overclaim_guard,1.000,1,1,[],[],210,"No. The lagged correlations are screening evidence, not causal proof. The supported signals may motivate model-revision testing, but downstream validation is still required before claiming forecast improvement."
