case_id,method,answer
adv_bind_001,adversarial_text_rag_overloaded,"Outpatient ILI activity has status present, lag 1 week, r=0.958037, and 29 paired weeks. It was promoted to a typed LEADING_INDICATOR_FOR edge; this is screening evidence, not causal proof."
adv_bind_002,adversarial_text_rag_overloaded,"Influenza A wastewater concentration has status present, lag 1 week, r=0.947016, and 26 paired weeks. It was promoted to a typed LEADING_INDICATOR_FOR edge; this remains screening evidence."
adv_bind_003,adversarial_text_rag_overloaded,"Influenza test positivity has status present, lag 1 week, r=0.925810, and 29 paired weeks. It was promoted to a typed LEADING_INDICATOR_FOR edge, without implying causality or validated forecast improvement."
adv_bind_004,adversarial_text_rag_overloaded,"Negative-control permuted surveillance signal has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks. It was retained as an EvidenceClaim only, not promoted, and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_005,adversarial_text_rag_overloaded,"The supported ranking is 1. Outpatient ILI activity: status present, lag 1 week, r=0.958037, 29 paired weeks, typed LEADING_INDICATOR_FOR edge; 2. Influenza A wastewater concentration: status present, lag 1 week, r=0.947016, 26 paired weeks, typed edge; 3. Influenza test positivity: status present, lag 1 week, r=0.925810, 29 paired weeks, typed edge. These scores are screening evidence, not causal proof."
adv_bind_006,adversarial_text_rag_overloaded,"There are 4 EvidenceClaims and only 3 typed LEADING_INDICATOR_FOR edges. The three status-present candidates received typed edges, while the Negative-control permuted surveillance signal has status missing and no typed edge."
adv_bind_007,adversarial_text_rag_overloaded,"The counts differ because all four evaluations are retained as EvidenceClaims, but only the three status-present candidates were promoted to typed LEADING_INDICATOR_FOR edges. The Negative-control permuted surveillance signal has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks, so it remains an EvidenceClaim only, not promoted, with no typed edge."
adv_bind_008,adversarial_text_rag_overloaded,"No. Chile Influenza Activity is a controlled-fixture distractor and is not part of empirical_influenza, so it should not be included among that pipeline's empirical candidates."
adv_bind_009,adversarial_text_rag_overloaded,"The empirical_influenza candidates are only Outpatient ILI activity, Influenza A wastewater concentration, Influenza test positivity, and Negative-control permuted surveillance signal. The first three have status present and typed LEADING_INDICATOR_FOR edges; the negative control has status missing and no typed edge."
adv_bind_010,adversarial_text_rag_overloaded,"Outpatient ILI activity is the strongest candidate for a cautious model-revision test: status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. This is screening evidence, not causal proof, and downstream validation is required before claiming forecast improvement."
adv_bind_011,adversarial_text_rag_overloaded,"Negative-control permuted surveillance signal should be excluded from model revision despite its listed best lag. It has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks; it remains an EvidenceClaim only with no typed LEADING_INDICATOR_FOR edge."
adv_bind_012,adversarial_text_rag_overloaded,"The typed LEADING_INDICATOR_FOR edges belong to Outpatient ILI activity (status present, lag 1 week, r=0.958037, 29 paired weeks), Influenza A wastewater concentration (status present, lag 1 week, r=0.947016, 26 paired weeks), and Influenza test positivity (status present, lag 1 week, r=0.925810, 29 paired weeks). These are the three supported screening relationships."
adv_bind_013,adversarial_text_rag_overloaded,"Outpatient ILI activity is stronger by score: status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza A wastewater concentration has status present, lag 1 week, r=0.947016, 26 paired weeks, and a typed edge."
adv_bind_014,adversarial_text_rag_overloaded,"Influenza A wastewater concentration is stronger by score: status present, lag 1 week, r=0.947016, 26 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza test positivity has status present, lag 1 week, r=0.925810, 29 paired weeks, and a typed edge."
adv_bind_015,adversarial_text_rag_overloaded,"Outpatient ILI activity is stronger by score: status present, lag 1 week, r=0.958037, 29 paired weeks, and a typed LEADING_INDICATOR_FOR edge. Influenza test positivity has status present, lag 1 week, r=0.925810, 29 paired weeks, and a typed edge."
adv_bind_016,adversarial_text_rag_overloaded,"Outpatient ILI activity and Influenza test positivity each have 29 paired weeks. Both have status present, lag 1 week, and typed LEADING_INDICATOR_FOR edges, with r=0.958037 and r=0.925810 respectively."
adv_bind_017,adversarial_text_rag_overloaded,"Influenza A wastewater concentration and Negative-control permuted surveillance signal each have 26 paired weeks. Wastewater has status present, lag 1 week, r=0.947016, and a typed LEADING_INDICATOR_FOR edge; the negative control has status missing, lag 4 weeks, r=-0.048027, and no typed edge."
adv_bind_018,adversarial_text_rag_overloaded,"The supported candidates with lag 1 week are Outpatient ILI activity (status present, r=0.958037, 29 paired weeks), Influenza A wastewater concentration (status present, r=0.947016, 26 paired weeks), and Influenza test positivity (status present, r=0.925810, 29 paired weeks). Each has a typed LEADING_INDICATOR_FOR edge, and each result is screening evidence."
adv_bind_019,adversarial_text_rag_overloaded,"Negative-control permuted surveillance signal has status missing, lag 4 weeks, r=-0.048027, and 26 paired weeks. A listed best lag alone does not establish support, so it was retained as an EvidenceClaim only and has no typed LEADING_INDICATOR_FOR edge."
adv_bind_020,adversarial_text_rag_overloaded,"No. The lagged correlations are screening evidence, not causal proof. The supported signals may motivate model-revision testing, but downstream validation is still required before claiming forecast improvement."
