method,case_type,case_count,overall_pass_rate,avg_include_score,forbidden_ok_rate,failed_case_count,forbidden_violation_count
empirical_graphrag_context,candidate_specific_evidence,3,1.000,1.000,1.000,0,0
empirical_graphrag_context,causal_overclaim_guard,2,1.000,1.000,1.000,0,0
empirical_graphrag_context,evidence_blurring_score_binding,4,1.000,1.000,1.000,0,0
empirical_graphrag_context,evidence_claim_vs_typed_edge,2,1.000,1.000,1.000,0,0
empirical_graphrag_context,model_revision_recommendation,1,1.000,1.000,1.000,0,0
empirical_graphrag_context,negative_control_preservation,4,1.000,1.000,1.000,0,0
empirical_graphrag_context,pairwise_comparison,3,1.000,1.000,1.000,0,0
empirical_graphrag_context,pipeline_isolation,2,1.000,1.000,1.000,0,0
empirical_graphrag_context,strongest_candidate_selection,3,1.000,1.000,1.000,0,0
empirical_llm_only,candidate_specific_evidence,3,0.000,0.143,1.000,3,0
empirical_llm_only,causal_overclaim_guard,2,0.000,0.534,1.000,2,0
empirical_llm_only,evidence_blurring_score_binding,4,0.000,0.000,1.000,4,0
empirical_llm_only,evidence_claim_vs_typed_edge,2,0.000,0.000,1.000,2,0
empirical_llm_only,model_revision_recommendation,1,0.000,0.000,1.000,1,0
empirical_llm_only,negative_control_preservation,4,0.000,0.050,1.000,4,0
empirical_llm_only,pairwise_comparison,3,0.000,0.000,1.000,3,0
empirical_llm_only,pipeline_isolation,2,0.500,0.600,1.000,1,0
empirical_llm_only,strongest_candidate_selection,3,0.000,0.000,1.000,3,0
empirical_text_rag_blended,candidate_specific_evidence,3,1.000,1.000,1.000,0,0
empirical_text_rag_blended,causal_overclaim_guard,2,1.000,1.000,1.000,0,0
empirical_text_rag_blended,evidence_blurring_score_binding,4,1.000,1.000,1.000,0,0
empirical_text_rag_blended,evidence_claim_vs_typed_edge,2,1.000,1.000,1.000,0,0
empirical_text_rag_blended,model_revision_recommendation,1,1.000,1.000,1.000,0,0
empirical_text_rag_blended,negative_control_preservation,4,1.000,1.000,1.000,0,0
empirical_text_rag_blended,pairwise_comparison,3,1.000,1.000,1.000,0,0
empirical_text_rag_blended,pipeline_isolation,2,1.000,1.000,1.000,0,0
empirical_text_rag_blended,strongest_candidate_selection,3,1.000,1.000,1.000,0,0
empirical_text_rag_clean,candidate_specific_evidence,3,1.000,1.000,1.000,0,0
empirical_text_rag_clean,causal_overclaim_guard,2,1.000,1.000,1.000,0,0
empirical_text_rag_clean,evidence_blurring_score_binding,4,1.000,1.000,1.000,0,0
empirical_text_rag_clean,evidence_claim_vs_typed_edge,2,1.000,1.000,1.000,0,0
empirical_text_rag_clean,model_revision_recommendation,1,1.000,1.000,1.000,0,0
empirical_text_rag_clean,negative_control_preservation,4,1.000,1.000,1.000,0,0
empirical_text_rag_clean,pairwise_comparison,3,1.000,1.000,1.000,0,0
empirical_text_rag_clean,pipeline_isolation,2,1.000,1.000,1.000,0,0
empirical_text_rag_clean,strongest_candidate_selection,3,1.000,1.000,1.000,0,0
