case_id,method,case_type,strict_include_score,strict_overall_pass,forbidden_ok,retrieval_coverage,retrieval_all_required_terms_present,target_label,missing_required_terms_json,retrieval_missing_terms_json,valid_unpromoted_candidate_present,valid_unpromoted_candidates_in_answer,screening_phrase_exact_present,forecast_unvalidated_language_present,diagnostic_category
resp_exp_003,resp_exp_text_rag_top1,promoted_exact_binding,0.286,False,True,0.571,False,COVID-NET COVID-19 hospitalization rate,"[""lag=0"", ""r=0.883280"", ""paired_weeks=233"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""r=0.883280"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_005,resp_exp_text_rag_top1,promoted_exact_binding,0.286,False,True,0.571,False,RSV-NET RSV hospitalization rate,"[""lag=0"", ""r=0.769103"", ""paired_weeks=194"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""r=0.769103"", ""paired_weeks=194"", ""edge_type=CONCURRENT_INDICATOR_FOR""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_011,resp_exp_text_rag_top1,missing_exact_binding,0.286,False,True,0.571,False,COVID-NET COVID-19 hospitalization rate,"[""lag=2"", ""r=0.022977"", ""paired_weeks=328"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""lag=2"", ""r=0.022977"", ""paired_weeks=328""]",True,"[""Deterministic negative-control surveillance signal | lag=2 | r=0.022977 | paired_weeks=328 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_012,resp_exp_text_rag_top1,missing_exact_binding,0.286,False,True,0.857,False,COVID-NET COVID-19 hospitalization rate,"[""lag=0"", ""r=-0.028546"", ""paired_weeks=233"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""r=-0.028546""]",True,"[""Wastewater Influenza A viral activity | lag=0 | r=-0.028546 | paired_weeks=233 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_013,resp_exp_text_rag_top1,missing_exact_binding,0.286,False,True,0.857,False,COVID-NET COVID-19 hospitalization rate,"[""lag=0"", ""r=-0.026794"", ""paired_weeks=224"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""r=-0.026794""]",True,"[""Wastewater RSV viral activity | lag=0 | r=-0.026794 | paired_weeks=224 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_014,resp_exp_text_rag_top1,missing_exact_binding,0.286,False,True,0.571,False,RSV-NET RSV hospitalization rate,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""lag=4"", ""r=0.008404"", ""paired_weeks=352""]",True,"[""Deterministic negative-control surveillance signal | lag=4 | r=0.008404 | paired_weeks=352 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_019,resp_exp_text_rag_top1,strongest_promoted_by_target,0.0,False,True,0.571,False,COVID-NET COVID-19 hospitalization rate,"[""Wastewater SARS-CoV-2 viral activity"", ""COVID-NET COVID-19 hospitalization rate"", ""lag=0"", ""r=0.883280"", ""paired_weeks=233"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""Wastewater SARS-CoV-2 viral activity"", ""r=0.883280"", ""edge_type=CONCURRENT_INDICATOR_FOR""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_021,resp_exp_text_rag_top1,leading_indicator_by_target,0.0,False,True,0.571,False,FluSurv-NET influenza hospitalization rate,"[""RSV test positivity"", ""FluSurv-NET influenza hospitalization rate"", ""lag=4"", ""r=0.611619"", ""paired_weeks=148"", ""evidence_status=present"", ""edge_type=LEADING_INDICATOR_FOR""]","[""RSV test positivity"", ""r=0.611619"", ""paired_weeks=148""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_023,resp_exp_text_rag_top1,leading_indicator_by_target,0.0,False,True,0.429,False,RSV-NET RSV hospitalization rate,"[""RSV test positivity"", ""RSV-NET RSV hospitalization rate"", ""lag=2"", ""r=0.963308"", ""paired_weeks=192"", ""evidence_status=present"", ""edge_type=LEADING_INDICATOR_FOR""]","[""RSV test positivity"", ""lag=2"", ""r=0.963308"", ""paired_weeks=192""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_024,resp_exp_text_rag_top1,concurrent_indicator_discrimination,0.286,False,True,0.857,False,FluSurv-NET influenza hospitalization rate,"[""lag=0"", ""r=0.926193"", ""paired_weeks=151"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""r=0.926193""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_028,resp_exp_text_rag_top1,negative_control_guard,0.286,False,True,0.571,False,COVID-NET COVID-19 hospitalization rate,"[""lag=2"", ""r=0.022977"", ""paired_weeks=328"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""lag=2"", ""r=0.022977"", ""paired_weeks=328""]",True,"[""Deterministic negative-control surveillance signal | lag=2 | r=0.022977 | paired_weeks=328 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_029,resp_exp_text_rag_top1,negative_control_guard,0.286,False,True,0.571,False,RSV-NET RSV hospitalization rate,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""lag=4"", ""r=0.008404"", ""paired_weeks=352""]",True,"[""Deterministic negative-control surveillance signal | lag=4 | r=0.008404 | paired_weeks=352 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_030,resp_exp_text_rag_top1,model_revision_guard,0.7,False,True,0.8,False,FluSurv-NET influenza hospitalization rate,"[""screening evidence only"", ""COVID-19 test positivity"", ""should not be promoted""]","[""screening evidence only"", ""COVID-19 test positivity""]",True,"[""Wastewater SARS-CoV-2 viral activity | lag=0 | r=0.149906 | paired_weeks=175 | missing | NO_TYPED_EDGE""]",False,True,retrieval_missing_required_binding
resp_exp_031,resp_exp_text_rag_top1,model_revision_guard,0.7,False,True,0.8,False,COVID-NET COVID-19 hospitalization rate,"[""screening evidence only"", ""Wastewater Influenza A viral activity"", ""should not be promoted""]","[""screening evidence only"", ""Wastewater Influenza A viral activity""]",False,[],False,True,retrieval_missing_required_binding
resp_exp_032,resp_exp_text_rag_top1,model_revision_guard,0.1,False,True,0.4,False,RSV-NET RSV hospitalization rate,"[""RSV test positivity"", ""lag=2"", ""r=0.963308"", ""paired_weeks=192"", ""evidence_status=present"", ""edge_type=LEADING_INDICATOR_FOR"", ""screening evidence only"", ""Deterministic negative-control surveillance signal"", ""should not be promoted""]","[""RSV test positivity"", ""r=0.963308"", ""paired_weeks=192"", ""evidence_status=present"", ""edge_type=LEADING_INDICATOR_FOR"", ""screening evidence only""]",True,"[""Wastewater SARS-CoV-2 viral activity | lag=0 | r=0.23934 | paired_weeks=233 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_014,resp_exp_text_rag_top2,missing_exact_binding,0.286,False,True,0.714,False,RSV-NET RSV hospitalization rate,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""r=0.008404"", ""paired_weeks=352""]",True,"[""Deterministic negative-control surveillance signal | lag=4 | r=0.008404 | paired_weeks=352 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_019,resp_exp_text_rag_top2,strongest_promoted_by_target,0.0,False,True,0.857,False,COVID-NET COVID-19 hospitalization rate,"[""Wastewater SARS-CoV-2 viral activity"", ""COVID-NET COVID-19 hospitalization rate"", ""lag=0"", ""r=0.883280"", ""paired_weeks=233"", ""evidence_status=present"", ""edge_type=CONCURRENT_INDICATOR_FOR""]","[""r=0.883280""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_023,resp_exp_text_rag_top2,leading_indicator_by_target,0.0,False,True,0.571,False,RSV-NET RSV hospitalization rate,"[""RSV test positivity"", ""RSV-NET RSV hospitalization rate"", ""lag=2"", ""r=0.963308"", ""paired_weeks=192"", ""evidence_status=present"", ""edge_type=LEADING_INDICATOR_FOR""]","[""lag=2"", ""r=0.963308"", ""paired_weeks=192""]",False,[],False,False,retrieval_missing_required_binding
resp_exp_029,resp_exp_text_rag_top2,negative_control_guard,0.286,False,True,0.714,False,RSV-NET RSV hospitalization rate,"[""lag=4"", ""r=0.008404"", ""paired_weeks=352"", ""evidence_status=missing"", ""edge_type=NO_TYPED_EDGE""]","[""r=0.008404"", ""paired_weeks=352""]",True,"[""Deterministic negative-control surveillance signal | lag=4 | r=0.008404 | paired_weeks=352 | missing | NO_TYPED_EDGE""]",False,False,retrieval_missing_required_binding
resp_exp_030,resp_exp_text_rag_top2,model_revision_guard,0.7,False,True,0.9,False,FluSurv-NET influenza hospitalization rate,"[""screening evidence only"", ""COVID-19 test positivity"", ""should not be promoted""]","[""screening evidence only""]",True,"[""Deterministic negative-control surveillance signal | lag=4 | r=0.032199 | paired_weeks=272 | missing | NO_TYPED_EDGE""]",False,True,retrieval_missing_required_binding
