case_id,method,answer
resp_exp_001,resp_exp_text_rag_unstructured_full,"Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_002,resp_exp_text_rag_unstructured_full,"RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_003,resp_exp_text_rag_unstructured_full,"Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_004,resp_exp_text_rag_unstructured_full,"COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_005,resp_exp_text_rag_unstructured_full,"Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_006,resp_exp_text_rag_unstructured_full,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_007,resp_exp_text_rag_unstructured_full,"Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_008,resp_exp_text_rag_unstructured_full,"Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_009,resp_exp_text_rag_unstructured_full,"Wastewater RSV viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.427575, paired_weeks=166, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_010,resp_exp_text_rag_unstructured_full,"Wastewater Influenza A viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.167332, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_011,resp_exp_text_rag_unstructured_full,"Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate: lag=2, r=0.022977, paired_weeks=328, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_012,resp_exp_text_rag_unstructured_full,"Wastewater Influenza A viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.028546, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_013,resp_exp_text_rag_unstructured_full,"Wastewater RSV viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=-0.026794, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_014,resp_exp_text_rag_unstructured_full,"Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate: lag=4, r=0.008404, paired_weeks=352, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_015,resp_exp_text_rag_unstructured_full,"Wastewater SARS-CoV-2 viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.239340, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_016,resp_exp_text_rag_unstructured_full,"Wastewater Influenza A viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.095853, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_017,resp_exp_text_rag_unstructured_full,"Wastewater RSV viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.179525, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_018,resp_exp_text_rag_unstructured_full,"Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. It has the strongest Pearson correlation among the target's promoted typed edges."
resp_exp_019,resp_exp_text_rag_unstructured_full,"Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. It has the strongest Pearson correlation among the target's promoted typed edges."
resp_exp_020,resp_exp_text_rag_unstructured_full,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. It has the strongest Pearson correlation among the target's promoted typed edges."
resp_exp_021,resp_exp_text_rag_unstructured_full,"RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_022,resp_exp_text_rag_unstructured_full,"COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_023,resp_exp_text_rag_unstructured_full,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_024,resp_exp_text_rag_unstructured_full,"Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
