claim_id,target_label,candidate_label,text_context_has_full_binding,graph_context_has_full_binding,information_parity_pass,promoted_edge_type,evidence_status
claim_target_flu_hospitalization_rate__candidate_wastewater_sars_cov_2,FluSurv-NET influenza hospitalization rate,Wastewater SARS-CoV-2 viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_flu_hospitalization_rate__candidate_wastewater_influenza_a,FluSurv-NET influenza hospitalization rate,Wastewater Influenza A viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_flu_hospitalization_rate__candidate_wastewater_rsv,FluSurv-NET influenza hospitalization rate,Wastewater RSV viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_flu_hospitalization_rate__candidate_test_positivity_covid_19,FluSurv-NET influenza hospitalization rate,COVID-19 test positivity,True,True,True,NO_TYPED_EDGE,missing
claim_target_flu_hospitalization_rate__candidate_test_positivity_influenza,FluSurv-NET influenza hospitalization rate,Influenza test positivity,True,True,True,CONCURRENT_INDICATOR_FOR,present
claim_target_flu_hospitalization_rate__candidate_test_positivity_rsv,FluSurv-NET influenza hospitalization rate,RSV test positivity,True,True,True,LEADING_INDICATOR_FOR,present
claim_target_flu_hospitalization_rate__candidate_negative_control_deterministic,FluSurv-NET influenza hospitalization rate,Deterministic negative-control surveillance signal,True,True,True,NO_TYPED_EDGE,missing
claim_target_covid_hospitalization_rate__candidate_wastewater_sars_cov_2,COVID-NET COVID-19 hospitalization rate,Wastewater SARS-CoV-2 viral activity,True,True,True,CONCURRENT_INDICATOR_FOR,present
claim_target_covid_hospitalization_rate__candidate_wastewater_influenza_a,COVID-NET COVID-19 hospitalization rate,Wastewater Influenza A viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_covid_hospitalization_rate__candidate_wastewater_rsv,COVID-NET COVID-19 hospitalization rate,Wastewater RSV viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_covid_hospitalization_rate__candidate_test_positivity_covid_19,COVID-NET COVID-19 hospitalization rate,COVID-19 test positivity,True,True,True,LEADING_INDICATOR_FOR,present
claim_target_covid_hospitalization_rate__candidate_test_positivity_influenza,COVID-NET COVID-19 hospitalization rate,Influenza test positivity,True,True,True,NO_TYPED_EDGE,missing
claim_target_covid_hospitalization_rate__candidate_test_positivity_rsv,COVID-NET COVID-19 hospitalization rate,RSV test positivity,True,True,True,NO_TYPED_EDGE,missing
claim_target_covid_hospitalization_rate__candidate_negative_control_deterministic,COVID-NET COVID-19 hospitalization rate,Deterministic negative-control surveillance signal,True,True,True,NO_TYPED_EDGE,missing
claim_target_rsv_hospitalization_rate__candidate_wastewater_sars_cov_2,RSV-NET RSV hospitalization rate,Wastewater SARS-CoV-2 viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_rsv_hospitalization_rate__candidate_wastewater_influenza_a,RSV-NET RSV hospitalization rate,Wastewater Influenza A viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_rsv_hospitalization_rate__candidate_wastewater_rsv,RSV-NET RSV hospitalization rate,Wastewater RSV viral activity,True,True,True,NO_TYPED_EDGE,missing
claim_target_rsv_hospitalization_rate__candidate_test_positivity_covid_19,RSV-NET RSV hospitalization rate,COVID-19 test positivity,True,True,True,NO_TYPED_EDGE,missing
claim_target_rsv_hospitalization_rate__candidate_test_positivity_influenza,RSV-NET RSV hospitalization rate,Influenza test positivity,True,True,True,CONCURRENT_INDICATOR_FOR,present
claim_target_rsv_hospitalization_rate__candidate_test_positivity_rsv,RSV-NET RSV hospitalization rate,RSV test positivity,True,True,True,LEADING_INDICATOR_FOR,present
claim_target_rsv_hospitalization_rate__candidate_negative_control_deterministic,RSV-NET RSV hospitalization rate,Deterministic negative-control surveillance signal,True,True,True,NO_TYPED_EDGE,missing
