case_id,method,answer
resp_exp_001,resp_exp_text_rag_top1,"Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_002,resp_exp_text_rag_top1,"RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_003,resp_exp_text_rag_top1,"The exact Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_004,resp_exp_text_rag_top1,"COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_005,resp_exp_text_rag_top1,"The exact Influenza test positivity -> RSV-NET RSV hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_006,resp_exp_text_rag_top1,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_007,resp_exp_text_rag_top1,"Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_008,resp_exp_text_rag_top1,"Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_009,resp_exp_text_rag_top1,"Wastewater RSV viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.427575, paired_weeks=166, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_010,resp_exp_text_rag_top1,"Wastewater Influenza A viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.167332, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_011,resp_exp_text_rag_top1,"The exact Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_012,resp_exp_text_rag_top1,"The exact Wastewater Influenza A viral activity -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_013,resp_exp_text_rag_top1,"The exact Wastewater RSV viral activity -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_014,resp_exp_text_rag_top1,"The exact Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_015,resp_exp_text_rag_top1,"Wastewater SARS-CoV-2 viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.239340, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_016,resp_exp_text_rag_top1,"Wastewater Influenza A viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.095853, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_017,resp_exp_text_rag_top1,"Wastewater RSV viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.179525, paired_weeks=224, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_018,resp_exp_text_rag_top1,"Among the promoted influenza-target bindings shown, Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_019,resp_exp_text_rag_top1,"The retrieved Text-RAG context does not provide the promoted COVID-target bindings needed to identify the strongest one."
resp_exp_020,resp_exp_text_rag_top1,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR. This is the promoted RSV-target binding shown."
resp_exp_021,resp_exp_text_rag_top1,"The exact promoted LEADING_INDICATOR_FOR binding for the influenza hospitalization target is not available in the retrieved Text-RAG context."
resp_exp_022,resp_exp_text_rag_top1,"COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_023,resp_exp_text_rag_top1,"The exact promoted LEADING_INDICATOR_FOR binding for the RSV hospitalization target is not available in the retrieved Text-RAG context."
resp_exp_024,resp_exp_text_rag_top1,"The exact Influenza test positivity -> FluSurv-NET influenza hospitalization rate concurrent binding is not available in the retrieved Text-RAG context."
resp_exp_025,resp_exp_text_rag_top1,"Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_026,resp_exp_text_rag_top1,"Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_027,resp_exp_text_rag_top1,"Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE. It remained unpromoted."
resp_exp_028,resp_exp_text_rag_top1,"The exact Deterministic negative-control surveillance signal -> COVID-NET COVID-19 hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_029,resp_exp_text_rag_top1,"The exact Deterministic negative-control surveillance signal -> RSV-NET RSV hospitalization rate binding is not available in the retrieved Text-RAG context."
resp_exp_030,resp_exp_text_rag_top1,"Hypothesis candidate: Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. Unsupported: Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE; forecast benefit remains unvalidated."
resp_exp_031,resp_exp_text_rag_top1,"Hypothesis candidate: Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR. An exact unsupported COVID-target binding is not available in the retrieved context; forecast benefit remains unvalidated."
resp_exp_032,resp_exp_text_rag_top1,"No supported RSV-target binding is available in the retrieved context, so a model-revision candidate cannot be recommended. Unsupported: Wastewater SARS-CoV-2 viral activity -> RSV-NET RSV hospitalization rate: lag=0, r=0.239340, paired_weeks=233, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_001,resp_exp_text_rag_top2,"Influenza test positivity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.926193, paired_weeks=151, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_002,resp_exp_text_rag_top2,"RSV test positivity -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.611619, paired_weeks=148, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_003,resp_exp_text_rag_top2,"Wastewater SARS-CoV-2 viral activity -> COVID-NET COVID-19 hospitalization rate: lag=0, r=0.883280, paired_weeks=233, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_004,resp_exp_text_rag_top2,"COVID-19 test positivity -> COVID-NET COVID-19 hospitalization rate: lag=1, r=0.643180, paired_weeks=193, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_005,resp_exp_text_rag_top2,"Influenza test positivity -> RSV-NET RSV hospitalization rate: lag=0, r=0.769103, paired_weeks=194, evidence_status=present, edge_type=CONCURRENT_INDICATOR_FOR."
resp_exp_006,resp_exp_text_rag_top2,"RSV test positivity -> RSV-NET RSV hospitalization rate: lag=2, r=0.963308, paired_weeks=192, evidence_status=present, edge_type=LEADING_INDICATOR_FOR."
resp_exp_007,resp_exp_text_rag_top2,"Deterministic negative-control surveillance signal -> FluSurv-NET influenza hospitalization rate: lag=4, r=0.032199, paired_weeks=272, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_008,resp_exp_text_rag_top2,"Wastewater SARS-CoV-2 viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.149906, paired_weeks=175, evidence_status=missing, edge_type=NO_TYPED_EDGE."
resp_exp_009,resp_exp_text_rag_top2,"Wastewater RSV viral activity -> FluSurv-NET influenza hospitalization rate: lag=0, r=0.427575, paired_weeks=166, evidence_status=missing, edge_type=NO_TYPED_EDGE."
